Year,Region,Plastic_Type,Packaging_Type,Flex_Class,Waste_Generated_tonnes,Collected_tonnes,Reused_tonnes,Recycled_tonnes,Recovered_tonnes,Landfilled_tonnes,Burned_tonnes,Leaked_tonnes,Collection_Cost_GHS,Recycling_Value_GHS,Carbon_Emission_tCO2e,Leakage_Risk_Score,Circularity_Index,calculated_total,mass_error,Core_Circularity,Collection_Efficiency,Recycling_Efficiency,Recovery_Rate,Reuse_Rate,Leakage_Rate,Landfill_Rate,Burning_Rate,Circularity_Class
2019,Greater Accra,PET,Bottles,Rigid,12186.35,9658.99,1621.16,5383.19,116.91,3138.22,1618.31,308.56,2494496.49,4844871.0,26809.97,0.46,75.0,12186.349999999999,1.8189894035458565e-12,58.436365277544134,79.26073024326398,55.73243165175654,0.9593520619381521,13.303080906095754,2.532013277150254,25.75192736135102,13.279694083954588,Good
2019,Greater Accra,PET,Containers,Rigid,6780.88,5394.1,718.73,2302.47,110.02,2348.76,1021.68,279.22,1183181.56,2072223.0,14917.94,0.2,67.64,6780.88,0.0,46.17719234081712,79.54867214874766,42.68497061604345,1.6225032739113507,10.599361734760091,4.117754627717937,34.637982090820074,15.067070940644872,Good
2019,Greater Accra,PET,Sachets,Flexible,15335.56,10289.0,90.18,883.59,661.81,4459.97,4201.49,5038.52,2636611.3,795231.0,33738.23,2.83,14.43,15335.560000000001,-1.8189894035458565e-12,10.665277303209011,67.09243092524825,8.587715035474778,4.315525484560068,0.5880450404158701,32.85514190547982,29.08253757932544,27.39704321198574,Poor
2019,Greater Accra,PET,Films,Flexible,7661.32,5175.82,6.73,1002.11,487.15,2342.94,1841.72,1980.67,1435635.81,901899.0,16854.9,2.53,29.55,7661.320000000001,-9.094947017729282e-13,19.526530676175906,67.55780988132594,19.361376554826094,6.358564842611979,0.08784387024690264,25.85285564367498,30.58141416883775,24.039199511311367,Poor
2019,Greater Accra,PET,Pouches,Flexible,6933.06,5021.45,3.45,570.31,237.02,2446.02,2230.62,1445.64,1233988.02,513279.0,15252.73,1.77,25.65,6933.06,0.0,11.694403337054633,72.42761493481954,11.357476426131893,3.418692467683822,0.049761577139098755,20.851398949381657,35.28052548225459,32.17367223130911,Poor
2019,Greater Accra,HDPE,Bottles,Rigid,12306.57,9430.15,1817.57,5271.84,196.18,3191.74,1254.18,575.06,1229713.03,4217472.0,23382.48,0.29,74.86,12306.57,0.0,59.20081712451154,76.6269561705658,55.90409484472676,1.5941078627107312,14.769103007580503,4.6727885999104535,25.935252470834687,10.19114180474332,Good
2019,Greater Accra,HDPE,Containers,Rigid,6599.71,4558.44,605.7,1957.73,110.29,2337.5,1161.18,427.31,625174.77,1566184.0,12539.45,1.13,63.0,6599.710000000001,-9.094947017729282e-13,40.51268919391913,69.0703076347294,42.94736795921412,1.6711340346772814,9.177675988793448,6.47467843284023,35.41822292191627,17.594409451324378,Good
2019,Greater Accra,HDPE,Sachets,Flexible,14235.06,9677.1,1.6,1209.14,792.6,4657.38,3178.85,4395.49,1959101.0,967312.0,27046.61,2.7,20.82,14235.06,0.0,14.07328103991132,67.98074612962644,12.49485899701357,5.567942811621448,0.011239854275289323,30.87791691780716,32.71767031540436,22.331131726877164,Poor
2019,Greater Accra,HDPE,Films,Flexible,7240.19,5383.04,35.62,445.15,284.27,2641.82,2222.45,1610.88,1744422.19,356120.0,13756.36,2.2,23.77,7240.19,0.0,10.566573529147716,74.34943005639354,8.269490845321602,3.926278177782627,0.49197603930283595,22.249139870638757,36.48826895426778,30.696017645945755,Poor
2019,Greater Accra,HDPE,Pouches,Flexible,6236.45,4720.91,71.83,394.36,422.86,2294.88,1907.14,1145.38,594109.52,315488.0,11849.25,1.44,29.95,6236.450000000001,-9.094947017729282e-13,14.255706371413224,75.69867472680772,8.353474224249139,6.780460037360999,1.1517770526501456,18.365897265271112,36.797857755614174,30.580538607701502,Poor
